dprt_grid,arrvl_grid,dprt_time_60min,median_tt,n
61,105,2017-03-02T00:00:00Z,8.71666666666667,131
61,136,2017-03-02T00:00:00Z,10.25,59
61,146,2017-03-02T00:00:00Z,4.725,128
61,154,2017-03-02T00:00:00Z,4.5,289
61,168,2017-03-02T00:00:00Z,7.425,94
61,184,2017-03-02T00:00:00Z,8.90833333333333,122
61,189,2017-03-02T00:00:00Z,14.925,38
61,190,2017-03-02T00:00:00Z,9.04166666666667,36
61,191,2017-03-02T00:00:00Z,8,85
61,194,2017-03-02T00:00:00Z,9,41
61,196,2017-03-02T00:00:00Z,10.075,168
61,199,2017-03-02T00:00:00Z,9.85,60
61,206,2017-03-02T00:00:00Z,14.6,21
61,225,2017-03-02T00:00:00Z,9.45,23
61,229,2017-03-02T00:00:00Z,9.625,82
61,230,2017-03-02T00:00:00Z,11.4916666666667,72
61,231,2017-03-02T00:00:00Z,11.6583333333333,120
61,233,2017-03-02T00:00:00Z,6.11666666666667,61
61,240,2017-03-02T00:00:00Z,11.8,51
61,241,2017-03-02T00:00:00Z,10.35,69
61,245,2017-03-02T00:00:00Z,9.7,102
61,246,2017-03-02T00:00:00Z,14.7333333333333,32
61,251,2017-03-02T00:00:00Z,11.3083333333333,110
61,253,2017-03-02T00:00:00Z,7.88333333333333,42
61,257,2017-03-02T00:00:00Z,12.6666666666667,56
61,258,2017-03-02T00:00:00Z,12.0666666666667,15
61,260,2017-03-02T00:00:00Z,11.3166666666667,43
61,266,2017-03-02T00:00:00Z,8.8,4
61,268,2017-03-02T00:00:00Z,12.2166666666667,27
61,318,2017-03-02T00:00:00Z,5.16666666666667,164
61,320,2017-03-02T00:00:00Z,10.6,124
61,375,2017-03-02T00:00:00Z,6.4,179
61,391,2017-03-02T00:00:00Z,5.48333333333333,189
61,395,2017-03-02T00:00:00Z,8.61666666666667,97
61,400,2017-03-02T00:00:00Z,5.40833333333333,278
61,424,2017-03-02T00:00:00Z,6.21666666666667,247
61,442,2017-03-02T00:00:00Z,4.26666666666667,218
61,459,2017-03-02T00:00:00Z,8.13333333333333,51
61,464,2017-03-02T00:00:00Z,4.25,227
61,465,2017-03-02T00:00:00Z,4.76666666666667,278
61,468,2017-03-02T00:00:00Z,5.475,136
105,61,2017-03-02T00:00:00Z,6.85833333333333,32
105,136,2017-03-02T00:00:00Z,3.55,44
105,146,2017-03-02T00:00:00Z,7.98333333333333,6
105,154,2017-03-02T00:00:00Z,9.18333333333333,12
105,168,2017-03-02T00:00:00Z,3.4,39
105,184,2017-03-02T00:00:00Z,10.775,6
105,189,2017-03-02T00:00:00Z,12.2333333333333,3
105,190,2017-03-02T00:00:00Z,15.9333333333333,3
105,191,2017-03-02T00:00:00Z,10.3,13
105,194,2017-03-02T00:00:00Z,11.0166666666667,1
105,196,2017-03-02T00:00:00Z,14.3166666666667,6
105,199,2017-03-02T00:00:00Z,12.0666666666667,7
105,206,2017-03-02T00:00:00Z,16.75,1
105,225,2017-03-02T00:00:00Z,8.86666666666667,3
105,229,2017-03-02T00:00:00Z,11.9333333333333,17
105,230,2017-03-02T00:00:00Z,17.1333333333333,4
105,231,2017-03-02T00:00:00Z,13.475,16
105,233,2017-03-02T00:00:00Z,10.7833333333333,1
105,240,2017-03-02T00:00:00Z,16.5666666666667,5
105,241,2017-03-02T00:00:00Z,8.58333333333333,6
105,245,2017-03-02T00:00:00Z,8.33333333333333,43
105,251,2017-03-02T00:00:00Z,17.2583333333333,6
105,253,2017-03-02T00:00:00Z,12.2166666666667,4
105,257,2017-03-02T00:00:00Z,15.2416666666667,2
105,258,2017-03-02T00:00:00Z,13.9166666666667,3
105,260,2017-03-02T00:00:00Z,13.4166666666667,2
105,268,2017-03-02T00:00:00Z,15.875,8
105,318,2017-03-02T00:00:00Z,12.5166666666667,4
105,320,2017-03-02T00:00:00Z,6.15,53
105,375,2017-03-02T00:00:00Z,6.75,34
105,391,2017-03-02T00:00:00Z,8.93333333333333,29
105,395,2017-03-02T00:00:00Z,7.50833333333333,16
105,400,2017-03-02T00:00:00Z,11.6,15
105,424,2017-03-02T00:00:00Z,5.95833333333333,82
105,442,2017-03-02T00:00:00Z,6.55833333333333,34
105,459,2017-03-02T00:00:00Z,3.91666666666667,31
105,464,2017-03-02T00:00:00Z,7.78333333333333,57
105,465,2017-03-02T00:00:00Z,6.06666666666667,101
105,468,2017-03-02T00:00:00Z,4.56666666666667,42
136,61,2017-03-02T00:00:00Z,8.11666666666667,7
136,105,2017-03-02T00:00:00Z,3.08333333333333,49
136,146,2017-03-02T00:00:00Z,8.11666666666667,2
136,154,2017-03-02T00:00:00Z,11,10
136,168,2017-03-02T00:00:00Z,3.7,50
136,184,2017-03-02T00:00:00Z,9.26666666666667,12
136,189,2017-03-02T00:00:00Z,15.8333333333333,1
136,190,2017-03-02T00:00:00Z,9.65833333333333,4
136,191,2017-03-02T00:00:00Z,7.98333333333333,12
136,194,2017-03-02T00:00:00Z,13.0666666666667,3
136,196,2017-03-02T00:00:00Z,11.9666666666667,1
136,199,2017-03-02T00:00:00Z,9.55,7
136,206,2017-03-02T00:00:00Z,17.6916666666667,2
136,225,2017-03-02T00:00:00Z,8.425,2
136,229,2017-03-02T00:00:00Z,9.29166666666667,6
136,230,2017-03-02T00:00:00Z,15.2166666666667,3
136,231,2017-03-02T00:00:00Z,10.8416666666667,6
136,233,2017-03-02T00:00:00Z,7.53333333333333,5
136,240,2017-03-02T00:00:00Z,16,3
136,241,2017-03-02T00:00:00Z,7.64166666666667,18
136,245,2017-03-02T00:00:00Z,6.08333333333333,21
136,251,2017-03-02T00:00:00Z,14.8833333333333,3
136,257,2017-03-02T00:00:00Z,18.5166666666667,1
136,258,2017-03-02T00:00:00Z,10.9833333333333,2
136,260,2017-03-02T00:00:00Z,10.1,4
136,266,2017-03-02T00:00:00Z,11.5833333333333,1
136,318,2017-03-02T00:00:00Z,9.61666666666667,1
136,320,2017-03-02T00:00:00Z,4.69166666666667,48
136,375,2017-03-02T00:00:00Z,4.86666666666667,26
136,391,2017-03-02T00:00:00Z,8.41666666666667,6
136,395,2017-03-02T00:00:00Z,4.63333333333333,14
136,400,2017-03-02T00:00:00Z,11.45,4
136,424,2017-03-02T00:00:00Z,5.26666666666667,49
136,442,2017-03-02T00:00:00Z,6.94166666666667,8
136,459,2017-03-02T00:00:00Z,2.45833333333333,22
136,464,2017-03-02T00:00:00Z,9.39166666666667,18
136,465,2017-03-02T00:00:00Z,7.61666666666667,37
136,468,2017-03-02T00:00:00Z,4.76666666666667,15
146,61,2017-03-02T00:00:00Z,3.9,132
146,105,2017-03-02T00:00:00Z,11.5833333333333,39
146,136,2017-03-02T00:00:00Z,12.9333333333333,10
146,154,2017-03-02T00:00:00Z,3.21666666666667,75
146,168,2017-03-02T00:00:00Z,10.2833333333333,18
146,184,2017-03-02T00:00:00Z,8.83333333333333,27
146,189,2017-03-02T00:00:00Z,15.3333333333333,11
146,190,2017-03-02T00:00:00Z,7.70833333333333,6
146,191,2017-03-02T00:00:00Z,11.2166666666667,32
146,194,2017-03-02T00:00:00Z,8.85,14
146,196,2017-03-02T00:00:00Z,9.21666666666667,26
146,199,2017-03-02T00:00:00Z,11.4833333333333,15
146,206,2017-03-02T00:00:00Z,11.45,1
146,225,2017-03-02T00:00:00Z,6.65,6
146,229,2017-03-02T00:00:00Z,10.15,21
146,230,2017-03-02T00:00:00Z,9.98333333333333,19
146,231,2017-03-02T00:00:00Z,11.3583333333333,24
146,233,2017-03-02T00:00:00Z,5.31666666666667,15
146,240,2017-03-02T00:00:00Z,9.725,8
146,241,2017-03-02T00:00:00Z,13.7333333333333,17
146,245,2017-03-02T00:00:00Z,12.6833333333333,23
146,246,2017-03-02T00:00:00Z,14.1833333333333,11
146,251,2017-03-02T00:00:00Z,10.8,17
146,253,2017-03-02T00:00:00Z,6.35,12
146,257,2017-03-02T00:00:00Z,11.2666666666667,11
146,258,2017-03-02T00:00:00Z,15.6333333333333,6
146,260,2017-03-02T00:00:00Z,10.55,9
146,266,2017-03-02T00:00:00Z,10.1916666666667,2
146,268,2017-03-02T00:00:00Z,11.95,11
146,318,2017-03-02T00:00:00Z,3.31666666666667,94
146,320,2017-03-02T00:00:00Z,11.5333333333333,23
146,375,2017-03-02T00:00:00Z,9.23333333333333,23
146,391,2017-03-02T00:00:00Z,7.48333333333333,58
146,395,2017-03-02T00:00:00Z,10.3333333333333,21
146,400,2017-03-02T00:00:00Z,5.83333333333333,128
146,424,2017-03-02T00:00:00Z,9.41666666666667,69
146,442,2017-03-02T00:00:00Z,6.73333333333333,71
146,459,2017-03-02T00:00:00Z,9.3,33
146,464,2017-03-02T00:00:00Z,4.5,102
146,465,2017-03-02T00:00:00Z,6.55,137
146,468,2017-03-02T00:00:00Z,8.31666666666667,37
154,61,2017-03-02T00:00:00Z,4.11666666666667,71
154,105,2017-03-02T00:00:00Z,11.2666666666667,8
154,136,2017-03-02T00:00:00Z,11.9583333333333,6
154,146,2017-03-02T00:00:00Z,2.75833333333333,26
154,168,2017-03-02T00:00:00Z,11.6583333333333,8
154,184,2017-03-02T00:00:00Z,8.33333333333333,22
154,189,2017-03-02T00:00:00Z,16.2,5
