"","dprt_grid","time_30min","mean_speed","n"
"1",61,2017-03-02 00:00:00,27.3611081110271,18518
"2",61,2017-03-02 00:30:00,27.6089608390811,17543
"3",61,2017-03-02 01:00:00,27.2415285762597,14785
"4",61,2017-03-02 01:30:00,26.5726186733732,12724
"5",61,2017-03-02 02:00:00,30.4917495355699,9151
"6",61,2017-03-02 02:30:00,35.0172084130019,6276
"7",61,2017-03-02 03:00:00,29.2880441446965,8155
"8",61,2017-03-02 03:30:00,34.131021194605,4152
"9",61,2017-03-02 04:00:00,30.2207752877044,3302
"10",61,2017-03-02 04:30:00,29.7496367033423,4817
"11",61,2017-03-02 05:00:00,29.2140186915888,2140
"12",61,2017-03-02 05:30:00,33.4444850255661,2738
"13",61,2017-03-02 06:00:00,30.3228891149542,4915
"14",61,2017-03-02 06:30:00,30.4489164086687,5168
"15",61,2017-03-02 07:00:00,24.9542253521127,7100
"16",61,2017-03-02 07:30:00,19.4377820267686,13075
"17",61,2017-03-02 08:00:00,17.0826286296485,19630
"18",61,2017-03-02 08:30:00,20.9785651018601,22580
"19",61,2017-03-02 09:00:00,19.8848334768877,27864
"20",61,2017-03-02 09:30:00,18.6971013972199,27841
"21",61,2017-03-02 10:00:00,20.0196544817226,15976
"22",61,2017-03-02 10:30:00,20.9908266781783,18532
"23",61,2017-03-02 11:00:00,18.5980021927153,16418
"24",61,2017-03-02 11:30:00,18.4103590024664,18245
"25",61,2017-03-02 12:00:00,18.4662843053173,18656
"26",61,2017-03-02 12:30:00,20.1246121509358,19982
"27",61,2017-03-02 13:00:00,18.1910194768153,24542
"28",61,2017-03-02 13:30:00,17.4450553505535,27100
"29",61,2017-03-02 14:00:00,17.6185096055798,24517
"30",61,2017-03-02 14:30:00,18.1373709447492,23149
"31",61,2017-03-02 15:00:00,17.6735912531539,23780
"32",61,2017-03-02 15:30:00,17.522309297838,25393
"33",61,2017-03-02 16:00:00,17.1235265225933,20360
"34",61,2017-03-02 16:30:00,18.4029667468933,20359
"35",61,2017-03-02 17:00:00,17.0258271363049,22457
"36",61,2017-03-02 17:30:00,17.1156814916296,29927
"37",61,2017-03-02 18:00:00,14.0975056069143,36562
"38",61,2017-03-02 18:30:00,12.4463057414253,42742
"39",61,2017-03-02 19:00:00,17.1168188629103,35371
"40",61,2017-03-02 19:30:00,19.125892201498,34045
"41",61,2017-03-02 20:00:00,20.3365355658616,33206
"42",61,2017-03-02 20:30:00,19.7441847539116,35983
"43",61,2017-03-02 21:00:00,20.763069582088,38142
"44",61,2017-03-02 21:30:00,21.0573614240091,40393
"45",61,2017-03-02 22:00:00,23.2646237373078,38311
"46",61,2017-03-02 22:30:00,25.2751676000772,36247
"47",61,2017-03-02 23:00:00,25.4706279540851,42949
"48",61,2017-03-02 23:30:00,27.2074630147313,31837
"49",105,2017-03-02 00:00:00,28.7705,4000
"50",105,2017-03-02 00:30:00,26.9559640053609,5223
"51",105,2017-03-02 01:00:00,33.9756010046645,2787
"52",105,2017-03-02 01:30:00,33.15544332211,1782
"53",105,2017-03-02 02:00:00,26.9083333333333,2280
"54",105,2017-03-02 02:30:00,33.2399435426958,1417
"55",105,2017-03-02 03:00:00,35.5463698993111,1887
"56",105,2017-03-02 03:30:00,32.6788461538462,1040
"57",105,2017-03-02 04:00:00,32.5129461161652,1429
"58",105,2017-03-02 04:30:00,34.2591687041565,818
"59",105,2017-03-02 05:00:00,26.2258687258687,518
"60",105,2017-03-02 05:30:00,27.8251072961373,932
"61",105,2017-03-02 06:00:00,20.4904037061549,1511
"62",105,2017-03-02 06:30:00,29.2990961380444,1217
"63",105,2017-03-02 07:00:00,28.2679127725857,963
"64",105,2017-03-02 07:30:00,23.9008428358949,2017
"65",105,2017-03-02 08:00:00,17.2654360280076,4713
"66",105,2017-03-02 08:30:00,20.9083277367361,5956
"67",105,2017-03-02 09:00:00,19.0648972077324,6518
"68",105,2017-03-02 09:30:00,21.4852244529664,4433
"69",105,2017-03-02 10:00:00,20.2437968840162,3466
"70",105,2017-03-02 10:30:00,19.3974221267454,3724
"71",105,2017-03-02 11:00:00,23.6372705506784,2506
"72",105,2017-03-02 11:30:00,19.5479896238651,3084
"73",105,2017-03-02 12:00:00,20.4893617021277,2961
"74",105,2017-03-02 12:30:00,21.2399073461284,3022
"75",105,2017-03-02 13:00:00,19.6855067887591,3167
"76",105,2017-03-02 13:30:00,19.6010327022375,2905
"77",105,2017-03-02 14:00:00,24.8409556313993,2930
"78",105,2017-03-02 14:30:00,16.4908306364617,2781
"79",105,2017-03-02 15:00:00,22.4109871953738,2421
"80",105,2017-03-02 15:30:00,17.9895957700836,5863
"81",105,2017-03-02 16:00:00,16.6675139806812,5901
"82",105,2017-03-02 16:30:00,20.4766407119021,3596
"83",105,2017-03-02 17:00:00,20.7685250529287,2834
"84",105,2017-03-02 17:30:00,19.2340818209782,3251
"85",105,2017-03-02 18:00:00,18.3827493261456,4081
"86",105,2017-03-02 18:30:00,13.4696059762707,6827
"87",105,2017-03-02 19:00:00,17.2120030007502,6665
"88",105,2017-03-02 19:30:00,16.6960797705232,7321
"89",105,2017-03-02 20:00:00,21.1170286108239,5802
"90",105,2017-03-02 20:30:00,21.5165013525699,5545
"91",105,2017-03-02 21:00:00,20.6580578512397,6776
"92",105,2017-03-02 21:30:00,21.9396022587773,8146
"93",105,2017-03-02 22:00:00,22.5119398980413,7454
"94",105,2017-03-02 22:30:00,25.5231459978325,6459
"95",105,2017-03-02 23:00:00,25.2580245212839,7259
"96",105,2017-03-02 23:30:00,25.9628779697624,7408
"97",136,2017-03-02 00:00:00,38.7056818181818,5280
"98",136,2017-03-02 00:30:00,36.805204192266,5534
"99",136,2017-03-02 01:00:00,52.1308986458761,2437
"100",136,2017-03-02 01:30:00,43.6717408274785,2562
"101",136,2017-03-02 02:00:00,40.5914016078294,2861
"102",136,2017-03-02 02:30:00,44.1137040714995,2014
"103",136,2017-03-02 03:00:00,48.1926683716965,1173
"104",136,2017-03-02 03:30:00,52.6020942408377,764
"105",136,2017-03-02 04:00:00,40.9048742138365,1272
"106",136,2017-03-02 04:30:00,51.2237569060773,362
"107",136,2017-03-02 05:00:00,33.6240601503759,798
"108",136,2017-03-02 05:30:00,41.0825958702065,1356
"109",136,2017-03-02 06:00:00,45.7247360482655,1326
"110",136,2017-03-02 06:30:00,34.84361093452,1573
"111",136,2017-03-02 07:00:00,36.1066330814442,2382
"112",136,2017-03-02 07:30:00,30.8456705281759,5093
"113",136,2017-03-02 08:00:00,31.1655844155844,5236
"114",136,2017-03-02 08:30:00,33.2327483047467,5014
"115",136,2017-03-02 09:00:00,30.7059555924466,4819
"116",136,2017-03-02 09:30:00,27.8967835725968,5503
"117",136,2017-03-02 10:00:00,31.4379068602904,3994
"118",136,2017-03-02 10:30:00,29.1801061007958,3770
"119",136,2017-03-02 11:00:00,22.9342770475228,3956
"120",136,2017-03-02 11:30:00,30.7928611579539,3558
